INSTNM,CITY,STABBR,ZIP,ADM_RATE_ALL,ADMCON7,SAT_AVG,ACTCM25,ACTCM75,OPENADMP,PCTFLOAN_DCS,PCTPELL_DCS,FTFTPCTFLOAN,UGDS,UGDS_MEN,UGDS_WOMEN,UG25ABV,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,PAR_ED_PCT_1STGEN,FAMINC,MD_FAMINC,PCT_BORN_US,UNEMP_RATE,COSTT4_A,COSTT4_P
Alabama A & M University,Normal,AL,35762,0.68395643875603,5.0,920.0,15.0,19.0,2.0,0.5365,0.6553,0.5039,5196.0,0.4055,0.5945,0.0617,0.0198,0.8955,0.011,0.0019,0.0025,0.0015,0.0127,0.0115,0.0435,16500,17275,0.3658280922,32362.826114,23553,94.7399978637695,4.84000015258789,23167.0,
University of Alabama at Birmingham,Birmingham,AL,35294-0110,0.86679400824369,5.0,1291.0,23.0,30.0,2.0,0.4214,0.3374,0.482,12776.0,0.3752,0.6248,0.1794,0.513,0.2528,0.0711,0.0819,0.0016,0.0005,0.0491,0.0237,0.0064,16250,15188,0.341223671,51306.674306,34489,96.5,3.45000004768371,26257.0,
Amridge University,Montgomery,AL,36117-3553,,,,,,1.0,0.5896,0.7769,,228.0,0.364,0.636,0.8606,0.2851,0.6623,0.0307,0.0,0.0044,0.0044,0.0,0.0,0.0132,13453,12250,0.5125,21079.472973,15033.5,94.0899963378906,3.59999990463256,,
University of Alabama in Huntsville,Huntsville,AL,35899,0.78104282386669,5.0,1259.0,25.0,30.0,2.0,0.3511,0.2235,0.3913,6985.0,0.5981,0.4019,0.1519,0.7102,0.0873,0.0666,0.0389,0.0087,0.0016,0.0465,0.0149,0.0252,14000,13760,0.3101321586,61096.588949,44787,95.2699966430664,3.64000010490417,25777.0,
Alabama State University,Montgomery,AL,36104-0271,0.9659783093151,5.0,963.0,16.0,20.0,2.0,0.768,0.6984,0.8294,3296.0,0.3595,0.6405,0.0677,0.0155,0.9251,0.0121,0.0015,0.0021,0.0009,0.0118,0.0221,0.0088,17299,19303,0.3434343434,31684.382188,22080.5,94.5299987792968,4.80999994277954,21900.0,
The University of Alabama,Tuscaloosa,AL,35487-0100,0.80059920106524,5.0,1304.0,23.0,31.0,2.0,0.3494,0.1843,0.3578,31360.0,0.4399,0.5601,0.0735,0.7336,0.1072,0.0577,0.0146,0.0036,0.0011,0.0344,0.0092,0.0386,18000,17967,0.2257126887,91846.749624,66733.5,96.0800018310547,3.25999999046325,31024.0,
Central Alabama Community College,Alexander City,AL,35010,,,,,,1.0,0.2532,0.5011,0.2192,963.0,0.3925,0.6075,0.1565,0.6802,0.2285,0.0322,0.0042,0.0021,0.0,0.0447,0.0052,0.0031,5750,5282,0.5496760259,30767.764486,22217,98.8499984741211,3.75999999046325,14041.0,
Athens State University,Athens,AL,35611,,,,,,,0.4389,0.4205,,2465.0,0.2929,0.7071,0.5569,0.7574,0.1258,0.0503,0.0049,0.0146,0.0008,0.0325,0.0041,0.0097,15000,13000,0.4774964838,38479.38737,29645.5,96.9599990844726,3.38000011444091,,
Auburn University at Montgomery,Montgomery,AL,36117-3596,0.92227074235807,1.0,1051.0,18.0,25.0,2.0,0.5329,0.5011,0.5029,3307.0,0.3245,0.6755,0.2031,0.4052,0.4584,0.0175,0.0287,0.0024,0.0009,0.0366,0.0454,0.0048,13336,12950,0.38189609,41987.986288,29671.5,96.8499984741211,3.78999996185302,19771.0,
Auburn University,Auburn,AL,36849,0.43744118355109,5.0,1292.0,24.0,30.0,2.0,0.2804,0.1261,0.2773,25234.0,0.4991,0.5009,0.04,0.8269,0.0425,0.0395,0.0279,0.0025,0.0006,0.029,0.028,0.003,18500,17095,0.1726471191,92148.626516,72031,94.9199981689453,3.14000010490417,33650.0,
Birmingham-Southern College,Birmingham,AL,35254,0.57171248757866,5.0,1218.0,22.0,29.0,2.0,0.6452,0.2277,0.8484,968.0,0.5248,0.4752,0.017,0.7397,0.1519,0.0558,0.0227,0.001,0.0,0.0134,0.0145,0.001,14816,17500,0.1724941725,86672.871041,68094.5,95.6900024414062,2.83999991416931,35495.0,
Chattahoochee Valley Community College,Phenix City,AL,36869,,,,,,1.0,0.2999,0.5899,0.2151,1101.0,0.307,0.693,0.3301,0.3524,0.4886,0.0173,0.0054,0.0027,0.0045,0.1017,0.0,0.0272,6367,5500,0.4302670623,26584.324786,20813,94.8799972534179,3.59999990463256,9320.0,
South University-Montgomery,Montgomery,AL,36116,,,,,,1.0,0.6914,0.6499,0.9167,315.0,0.1333,0.8667,0.6804,0.2,0.7429,0.0159,0.0063,0.0,0.0032,0.0063,0.0127,0.0127,12883,14576,0.4722883373,29130.921239,20000,91.0699996948242,3.6800000667572,32195.0,
Enterprise State Community College,Enterprise,AL,36330-1300,,,,,,1.0,0.2665,0.5554,0.2206,1359.0,0.507,0.493,0.2244,0.624,0.2009,0.0603,0.0125,0.0088,0.0007,0.0567,0.0088,0.0272,5500,5500,0.4218916047,30336.675829,20456,94.8000030517578,3.85999989509582,9452.0,
Coastal Alabama Community College,Bay Minette,AL,36507-2698,,,,,,1.0,0.2926,0.4549,0.2884,4809.0,0.3493,0.6507,0.2206,0.633,0.2362,0.0455,0.0079,0.0154,0.0015,0.0505,0.004,0.006,5500,5500,0.4351196495,36117.937329,24150,97.3300018310547,3.44000005722045,14446.0,
Faulkner University,Montgomery,AL,36109-3390,0.82407407407407,5.0,1021.0,17.0,24.0,2.0,0.6836,0.5172,0.7151,1587.0,0.4398,0.5602,0.4247,0.4461,0.4058,0.046,0.0113,0.0032,0.0025,0.0271,0.0365,0.0214,14750,16331,0.4300319489,36952.206116,24037.5,96.5899963378906,3.92000007629394,36169.0,
Gadsden State Community College,Gadsden,AL,35903,,,,,,1.0,0.0,0.5659,0.0,3446.0,0.3529,0.6471,0.3261,0.659,0.1953,0.0731,0.0081,0.0029,0.0012,0.0444,0.0131,0.0029,PS,PS,0.5149544863,19449.725019,16623,97.4700012207031,3.46000003814697,10613.0,
New Beginning College of Cosmetology,Albertville,AL,35951,,,,,,1.0,0.1579,0.2368,0.0408,45.0,0.0,1.0,0.2281,0.7556,0.0,0.2222,0.0,0.0,0.0,0.0,0.0,0.0222,PS,PS,0.5,22762.19469,17173,,,,17496.0
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,,,,,,1.0,0.0,0.581,0.0,3069.0,0.2819,0.7181,0.3198,0.5435,0.3258,0.0639,0.0098,0.0026,0.0016,0.0433,0.0016,0.0078,PS,PS,0.4851537646,19125.651634,15816,97.1399993896484,3.51999998092651,8592.0,
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,,,,,,1.0,0.2586,0.4803,0.2216,4207.0,0.3266,0.6734,0.2306,0.7754,0.0839,0.0858,0.0062,0.0057,0.0,0.0335,0.0076,0.0019,8000,8750,0.498813157,36705.769088,27572,97.4899978637695,2.90000009536743,15488.0,
George C Wallace State Community College-Selma,Selma,AL,36702-2808,,,,,,1.0,0.0,0.7091,0.0,856.0,0.3423,0.6577,0.2114,0.1671,0.7874,0.0093,0.0082,0.0,0.0,0.0,0.0047,0.0234,PS,PS,0.5125881168,15431.714286,14330,98.6800003051758,5.13999986648559,9195.0,
Herzing University-Birmingham,Birmingham,AL,35209,0.94232105628908,3.0,,,,2.0,0.7385,0.6398,0.6875,570.0,0.2193,0.7807,0.7664,0.2807,0.6456,0.0211,0.007,0.0035,0.0018,0.0211,0.0,0.0193,11350,14080,0.5209032652,26184.228503,18321,93.6900024414062,3.32999992370605,28152.0,
Huntingdon College,Montgomery,AL,36106-2148,0.65954139137193,5.0,1086.0,18.0,24.0,2.0,0.7354,0.3921,0.8,810.0,0.5593,0.4407,0.0441,0.6691,0.1914,0.0568,0.0037,0.0049,0.0012,0.0531,0.0,0.0198,21306,18250,0.3456,53792.633136,37577,96.6600036621094,3.28999996185302,39717.0,
Heritage Christian University,Florence,AL,35630-9977,1.0,1.0,,,,2.0,0.0694,0.4583,0.0,72.0,0.9167,0.0833,0.5833,0.8472,0.0833,0.0556,0.0,0.0,0.0,0.0139,0.0,0.0,PS,PS,PS,33173.64,36524,95.870002746582,3.22000002861023,17810.0,
J. F. Drake State Community and Technical College,Huntsville,AL,35811,,,,,,1.0,0.0,0.5887,0.0,698.0,0.384,0.616,0.4725,0.245,0.6476,0.0415,0.0014,0.0029,0.0014,0.053,0.0057,0.0014,PS,PS,0.5899653979,16557.179487,13959,94.8199996948242,4.32999992370605,12078.0,
J F Ingram State Technical College,Deatsville,AL,36022,,,,,,1.0,0.0,0.27,0.0,768.0,0.8737,0.1263,0.8775,0.4076,0.569,0.0117,0.0026,0.0,0.0039,0.0026,0.0026,0.0,PS,PS,0.4918032787,321.3853211,0,,,6084.0,
Jacksonville State University,Jacksonville,AL,36265,0.78464598249801,5.0,1055.0,16.0,23.0,2.0,0.8138,0.506,0.569,7066.0,0.4029,0.5971,0.1258,0.6134,0.2591,0.0018,0.0052,0.005,0.0013,0.0,0.02,0.0943,14418,12500,0.3637702504,48404.346827,35734,96.6900024414062,3.55999994277954,22153.0,
Jefferson State Community College,Birmingham,AL,35215-3098,,,,,,1.0,0.2716,0.4105,0.2564,5550.0,0.3551,0.6449,0.2701,0.578,0.2571,0.087,0.0187,0.0032,0.0004,0.0321,0.0177,0.0058,4418,4500,0.4502907782,36652.478692,25922,97.1900024414062,3.15000009536743,14677.0,
John C Calhoun State Community College,Tanner,AL,35671,,,,,,1.0,0.1947,0.3772,0.2032,6549.0,0.434,0.566,0.2773,0.6293,0.1645,0.0936,0.0223,0.0115,0.0011,0.0629,0.0081,0.0069,6001,6188,0.455343703,37220.18136,25186,95.7300033569336,3.69000005722045,11532.0,
Lawson State Community College,Birmingham,AL,35221-1717,,,,,,1.0,0.0,0.6261,0.0,2554.0,0.3414,0.6586,0.3378,0.1065,0.8046,0.0427,0.0023,0.0008,0.0004,0.0364,0.0047,0.0016,PS,PS,0.4747231584,18229.648074,16187.5,98.0100021362304,5.30999994277954,14471.0,
