SAT_AVG,UG25ABV,PCTPELL,PCTPELL_DCS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,RET_FT4,MD_EARN_WNE_INC1_P10,MD_EARN_WNE_INC3_P10,C150_4
920.0,0.0617,0.6536,0.6553,10024.0,18634.0,23167.0,0.5928,37848.0,48095.0,0.2678
1291.0,0.1794,0.3308,0.3374,8832.0,21216.0,26257.0,0.8243,49475.0,58346.0,0.6442
1259.0,0.1519,0.2173,0.2235,11878.0,24770.0,25777.0,0.8018,55158.0,67638.0,0.6295
963.0,0.0677,0.6976,0.6984,11068.0,19396.0,21900.0,0.596,32315.0,41081.0,0.2773
1304.0,0.0735,0.1788,0.1843,11940.0,32300.0,31024.0,0.8668,52399.0,65411.0,0.7276
1051.0,0.2031,0.4589,0.5011,9100.0,19348.0,19771.0,0.7016,41154.0,51859.0,0.3584
1218.0,0.017,0.2268,0.2277,21250.0,21250.0,35495.0,0.7746,52225.0,63125.0,0.6463
1021.0,0.4247,0.461,0.5172,23920.0,23920.0,36169.0,0.6316,37618.0,55474.0,0.33
1086.0,0.0441,0.3921,0.3921,28350.0,28350.0,39717.0,0.648,43793.0,54913.0,0.5018
1055.0,0.1258,0.4386,0.506,11952.0,21912.0,22153.0,0.6566,40482.0,51544.0,0.5224
1015.0,0.373,0.4556,0.4556,10990.0,20090.0,22456.0,0.691,39855.0,55375.0,0.3846
1227.0,0.0166,0.1051,0.1052,36725.0,36725.0,52514.0,0.9096,56092.0,59577.0,0.7779
1118.0,0.128,0.3853,0.3943,9116.0,17732.0,22667.0,0.6878,44893.0,54926.0,0.4767
1094.0,0.0475,0.3531,0.3542,21732.0,21732.0,35488.0,0.8093,45451.0,53567.0,0.6156
1050.0,0.3538,0.4229,0.4376,9312.0,18624.0,22005.0,0.7477,36725.0,53340.0,0.4552
1091.0,0.0385,0.5723,0.5776,22614.0,22614.0,41924.0,0.756,46343.0,55772.0,0.6728
1229.0,0.1419,0.2781,0.2848,13275.0,39577.0,27682.0,0.8564,55089.0,68380.0,0.6793
1278.0,0.0626,0.178,0.1791,40464.0,40464.0,58036.0,0.7823,75740.0,90898.0,0.7062
1089.0,0.3795,0.3971,0.4716,8366.0,18957.0,21300.0,0.7452,41617.0,52695.0,0.4193
1167.0,0.0851,0.1822,0.1842,9656.0,27410.0,24611.0,0.8558,52171.0,65077.0,0.6919
878.0,0.0914,0.6618,0.6727,8668.0,15838.0,19968.0,0.5891,33114.0,40780.0,0.4115
1119.0,0.1922,0.3602,0.3967,7456.0,13312.0,21176.0,0.7756,38187.0,50630.0,0.5281
1118.0,0.0797,0.3633,0.3858,9778.0,16728.0,23167.0,0.7413,40828.0,51895.0,0.5008
1011.0,0.164,0.4325,0.4583,17700.0,17700.0,28293.0,0.6261,45577.0,47852.0,0.392
1182.0,0.0445,0.1971,0.2223,23148.0,23148.0,34168.0,0.8443,46778.0,56169.0,0.6947
1019.0,0.1104,0.4479,0.4526,7560.0,9768.0,26032.0,0.5718,40493.0,50399.0,0.3922
1246.0,0.0054,0.2525,0.2543,35100.0,35100.0,49928.0,0.7905,43180.0,64694.0,0.6857
1218.0,0.0891,0.2334,0.2996,29720.0,29720.0,42128.0,0.8445,47122.0,55878.0,0.7121
1087.0,0.0191,0.3571,0.3613,25950.0,25950.0,35272.0,0.6853,41252.0,44277.0,0.4096
1050.0,0.0447,0.4238,0.4295,19450.0,19450.0,30718.0,0.5789,37485.0,48956.0,0.4495
1088.0,0.0937,0.4263,0.4819,9680.0,15110.0,24242.0,0.7054,40376.0,48423.0,0.4454
1132.0,0.2209,0.3993,0.3993,42330.0,42330.0,54157.0,0.7788,61439.0,67549.0,0.6127
1250.0,0.0793,0.2579,0.2623,44382.0,44382.0,57785.0,0.8432,56248.0,56992.0,0.7206
1258.0,0.0822,0.3117,0.3122,48012.0,48012.0,60992.0,0.8102,67158.0,71824.0,0.732
1316.0,0.0254,0.1939,0.2003,60672.0,60672.0,78549.0,0.9129,61716.0,78489.0,0.8363
1514.0,0.0021,0.2006,0.2008,60715.0,60715.0,78723.0,0.9579,94018.0,121531.0,0.9128
1192.0,0.1121,0.2682,0.288,49426.0,49426.0,67130.0,0.8525,76498.0,96293.0,0.7893
1116.0,0.32,0.4752,0.4752,47000.0,47000.0,59394.0,0.769,56403.0,73894.0,0.6322
1378.0,0.0168,0.1326,0.135,55926.0,55926.0,72553.0,0.8773,71487.0,81440.0,0.8152
1434.0,0.0041,0.1707,0.1717,60566.0,60566.0,77878.0,0.8897,74172.0,78408.0,0.8267
1276.0,0.0635,0.369,0.3732,53682.0,53682.0,64996.0,0.8768,72078.0,82806.0,0.7372
1399.0,0.0547,0.1928,0.1929,63142.0,63142.0,80152.0,0.8837,79434.0,83189.0,0.8398
1520.0,0.0068,0.1834,0.1852,59238.0,59238.0,77810.0,0.9623,71164.0,91331.0,0.9463
1215.0,0.146,0.3325,0.335,55678.0,55678.0,70206.0,0.7964,65673.0,77282.0,0.669
1323.0,0.063,0.2823,0.2838,55532.0,55532.0,73981.0,0.8093,82790.0,92260.0,0.7437
1379.0,0.0112,0.1103,0.1104,57534.0,57534.0,75576.0,0.9189,96559.0,115109.0,0.8852
1467.0,0.0046,0.1114,0.1118,60712.0,60712.0,79740.0,0.9051,82504.0,75532.0,0.8407
1520.0,0.0233,0.2173,0.2191,64726.0,64726.0,81298.0,0.9655,88397.0,95698.0,0.925
1328.0,0.0161,0.2072,0.2072,27000.0,27000.0,38428.0,0.916,63783.0,51206.0,0.8506
1380.0,0.0129,0.1898,0.1898,50066.0,50066.0,67000.0,0.861,61848.0,67391.0,0.7356
1231.0,0.0392,0.3424,0.3424,49864.0,49864.0,62130.0,0.696,58581.0,62250.0,0.6557
1066.0,0.2087,0.3553,0.455,9776.0,21848.0,22772.0,0.568,39144.0,52898.0,0.28
1150.0,0.2009,0.2608,0.3374,9562.0,26818.0,23895.0,0.6976,64378.0,63702.0,0.4385
1301.0,0.0619,0.1435,0.1456,13106.0,40356.0,32351.0,0.8778,62927.0,74571.0,0.7474
1403.0,0.0508,0.133,0.1348,20040.0,42120.0,37114.0,0.9362,96958.0,97432.0,0.8181
1199.0,0.1042,0.2124,0.2177,12874.0,32734.0,28277.0,0.8622,57073.0,64282.0,0.6662
1348.0,0.0598,0.1513,0.1538,56439.0,56439.0,72540.0,0.88,68391.0,73853.0,0.7745
1147.0,0.145,0.3764,0.3969,9212.0,19724.0,24017.0,0.5947,42654.0,50017.0,0.3877
1062.0,0.16,0.3005,0.3312,9297.0,23019.0,22346.0,0.7599,39494.0,54202.0,0.3915
1025.0,0.3635,0.3323,0.3493,10260.0,28092.0,22428.0,0.628,48401.0,55742.0,0.2898
1106.0,0.1159,0.2653,0.2921,11332.0,24722.0,26352.0,0.7518,50573.0,54992.0,0.5191
1149.0,0.3472,0.2452,0.2573,42220.0,42220.0,52045.0,0.7248,58711.0,82173.0,0.668
1031.0,0.2141,0.3343,0.4321,9245.0,16324.0,22545.0,0.6241,50802.0,63201.0,0.3505
1154.0,0.0673,0.1416,0.2659,10813.0,22837.0,24833.0,0.767,45710.0,49608.0,0.4698
1061.0,0.1846,0.3579,0.3641,12106.0,24994.0,22904.0,0.7653,55999.0,55171.0,0.5347
1427.0,0.0055,0.1597,0.1613,63005.0,63005.0,79575.0,0.872,58054.0,78875.0,0.8411
1340.0,0.0248,0.2406,0.2433,19434.0,42102.0,35236.0,0.9095,66740.0,81315.0,0.8318
1325.0,0.0182,0.0736,0.0745,54455.0,54455.0,71215.0,0.9108,78376.0,91750.0,0.8419
1201.0,0.048,0.2835,0.2899,46148.0,46148.0,60887.0,0.7438,57498.0,64883.0,0.5694
1180.0,0.0575,0.2789,0.2819,44184.0,44184.0,60918.0,0.7396,57642.0,65058.0,0.621
