ACTCMMID,COSTT4_A,RET_FT4,MD_EARN_WNE_INC1_P10,SAT_AVG,TUITIONFEE_IN,OPENADMP,UG25ABV,PCTPELL,PCTPELL_DCS,C150_4
18.0,23167.0,0.5928,37848.0,920.0,10024.0,2.0,0.0617,0.6536,0.6553,0.2678
27.0,26257.0,0.8243,49475.0,1291.0,8832.0,2.0,0.1794,0.3308,0.3374,0.6442
28.0,25777.0,0.8018,55158.0,1259.0,11878.0,2.0,0.1519,0.2173,0.2235,0.6295
18.0,21900.0,0.596,32315.0,963.0,11068.0,2.0,0.0677,0.6976,0.6984,0.2773
26.0,31024.0,0.8668,52399.0,1304.0,11940.0,2.0,0.0735,0.1788,0.1843,0.7276
21.0,19771.0,0.7016,41154.0,1051.0,9100.0,2.0,0.2031,0.4589,0.5011,0.3584
25.0,35495.0,0.7746,52225.0,1218.0,21250.0,2.0,0.017,0.2268,0.2277,0.6463
20.0,36169.0,0.6316,37618.0,1021.0,23920.0,2.0,0.4247,0.461,0.5172,0.33
22.0,39717.0,0.648,43793.0,1086.0,28350.0,2.0,0.0441,0.3921,0.3921,0.5018
20.0,22153.0,0.6566,40482.0,1055.0,11952.0,2.0,0.1258,0.4386,0.506,0.5224
19.0,22456.0,0.691,39855.0,1015.0,10990.0,2.0,0.373,0.4556,0.4556,0.3846
23.0,26185.0,0.7322,40044.0,1116.0,13710.0,2.0,0.0804,0.4167,0.4226,0.5476
26.0,52514.0,0.9096,56092.0,1227.0,36725.0,2.0,0.0166,0.1051,0.1052,0.7779
23.0,22667.0,0.6878,44893.0,1118.0,9116.0,2.0,0.128,0.3853,0.3943,0.4767
19.0,35488.0,0.8093,45451.0,1094.0,21732.0,2.0,0.0475,0.3531,0.3542,0.6156
21.0,22005.0,0.7477,36725.0,1050.0,9312.0,2.0,0.3538,0.4229,0.4376,0.4552
22.0,41924.0,0.756,46343.0,1091.0,22614.0,2.0,0.0385,0.5723,0.5776,0.6728
22.0,19814.0,0.697,43711.0,1116.0,7896.0,1.0,0.45,0.2156,0.3067,0.3851
25.0,27682.0,0.8564,55089.0,1229.0,13275.0,2.0,0.1419,0.2781,0.2848,0.6793
26.0,58036.0,0.7823,75740.0,1278.0,40464.0,2.0,0.0626,0.178,0.1791,0.7062
20.0,47865.0,0.6033,44785.0,1178.5,31650.0,2.0,0.1111,0.361,0.3795,0.4531
22.0,21300.0,0.7452,41617.0,1089.0,8366.0,2.0,0.3795,0.3971,0.4716,0.4193
24.0,44749.0,0.5072,43013.0,1178.5,31000.0,2.0,0.0276,0.3683,0.3702,0.3831
25.0,24611.0,0.8558,52171.0,1167.0,9656.0,2.0,0.0851,0.1822,0.1842,0.6919
16.0,19968.0,0.5891,33114.0,878.0,8668.0,2.0,0.0914,0.6618,0.6727,0.4115
